year_month,exret_weight_sum
2010-01,-0.015033403020161408
2010-02,0.04477609369107942
2010-03,0.060843329094999996
2010-04,0.04993723325484627
2010-05,-0.068373315083
2010-06,-0.04518245337907187
2010-07,0.04687583533900001
2010-08,-0.06077902698399998
2010-09,0.11742516996400001
2010-10,-0.06746460807100332
2010-11,0.123310890264
2010-12,0.10305555746400001
2011-01,-0.033638604108000056
2011-02,0.07478863662583712
2011-03,0.059664888486614505
2011-04,-0.00324587901256172
2011-05,-0.03992022162541446
2011-06,-0.008951406983921807
2011-07,-0.040837647586674145
2011-08,-0.10126573900526564
2011-09,-0.07660330394484088
2011-10,0.14279437413564894
2011-11,0.012158155054320482
2011-12,0.004257374884999996
2012-01,0.135373472994
2012-02,0.0026486351409999963
2012-03,0.09320071557700002
2012-04,-0.015071854209999083
2012-05,-0.12897400035999373
2012-06,0.0767734390430388
2012-07,0.09358363638606028
2012-08,-0.014310343867011426
2012-09,0.07324046702102222
2012-10,-0.08273060794070132
2012-11,0.056625253316000004
2012-12,-0.05225492182799996
2013-01,0.08868097631150021
2013-02,-0.034492109634909396
2013-03,0.07722726058784116
2013-04,0.05480950834851062
2013-05,0.07331890839900002
2013-06,-0.03247876196300001
2013-07,0.15967255883000192
2013-08,-0.056888091108
2013-09,0.06219921633247803
2013-10,0.014506430041739606
2013-11,0.005069948684542935
2013-12,0.06864177454917199
2014-01,0.032564517514537546
2014-02,0.07162638661972147
2014-03,-0.014034088233035986
2014-04,-0.07837605532008106
2014-05,-0.005481185299411207
2014-06,0.023882700288000002
2014-07,-0.06137994520699949
2014-08,-0.00481757709599312
2014-09,-0.04135974810047091
2014-10,0.04103411071400001
2014-11,-0.056547760367751505
2014-12,-0.0016422919592839515
2015-01,-0.05770809514608674
2015-02,0.03467689808395468
2015-03,-0.057607693484388926
2015-04,-0.042342490324429355
2015-05,0.012480662986869766
2015-06,-0.049364567752999994
2015-07,-0.010393998800000002
2015-08,-0.05599401592400001
2015-09,-0.020683559335999916
2015-10,0.022580738561999998
2015-11,0.1543115443610003
2015-12,-0.052702528789
2016-01,-0.07716804051424109
2016-02,-0.009974665800525953
2016-03,0.015528210440108839
2016-04,0.00026635761870656346
2016-05,0.013048586209798152
2016-06,-0.013631947283999999
2016-07,0.04390729462200001
2016-08,0.060493541478000006
2016-09,-0.002375590242998979
2016-10,-0.0756998099113872
2016-11,0.05593602441982186
2016-12,0.015616765302999998
2017-01,0.025105714564999618
2017-02,0.06016418038802958
2017-03,0.059237027631
2017-04,-0.008872741598999982
2017-05,-0.021706891755000006
2017-06,0.046380157371999985
2017-07,0.019311007519008792
2017-08,-0.049749969069999976
2017-09,0.025973077766999864
2017-10,-0.029034570981999998
2017-11,-0.06390211119900015
2017-12,0.09747625980100003
2018-01,0.06666748241100068
2018-02,-0.06479608825099967
2018-03,0.048145700226999995
2018-04,0.04869287624900022
2018-05,0.054813174138
2018-06,-0.007559024854999999
2018-07,0.0012586169590000033
2018-08,0.054787036225024385
2018-09,-0.014626337686999996
2018-10,-0.124263111438
2018-11,-0.03375701183100005
2018-12,-0.102139128199
2019-01,0.142576238114
2019-02,0.017344279426999978
2019-03,-0.009684229093000558
2019-04,0.092408086822
2019-05,-0.024582846601999993
2019-06,0.12558938261505434
2019-07,0.015132642304
2019-08,-0.011118185330681044
2019-09,-0.057628376406433264
2019-10,0.07951985709624124
2019-11,0.07792334840888117
2019-12,0.09027499011500001
2020-01,0.045027003552000004
2020-02,-0.10919384752800088
2020-03,-0.2165183565780024
2020-04,0.29252384793900166
2020-05,0.046313542800999974
2020-06,-0.02312353685300033
2020-07,0.011389404800999921
2020-08,-0.022265625798999995
2020-09,-0.07437375366099999
2020-10,0.039955572470999984
2020-11,0.063789747935
2020-12,0.09657914322000091
2021-01,0.12447754496800002
2021-02,0.031067930506000003
2021-03,0.15897201199300004
2021-04,-0.06225936791400001
2021-05,0.021164681443999998
2021-06,0.1506808173979999
2021-07,0.036141433450000024
2021-08,0.186293238269
2021-09,0.004989313532999725
2021-10,0.023596878003699397
2021-11,-0.07111401100584995
2021-12,0.09013707159600001
2022-01,-0.10332290688000001
2022-02,-0.016661520292000003
2022-03,0.11791501014931251
2022-04,-0.073383107079
2022-05,0.011314426141912099
2022-06,-0.13338241403005807
2022-07,0.11740074019716307
2022-08,-0.0046885880508543455
2022-09,-0.11277078648800001
2022-10,0.11544025591000007
2022-11,0.06201387353699966
2022-12,-0.061902229621999996
2023-01,-0.02825007829400003
2023-02,-0.044352241460000004
2023-03,-0.03837349955500001
2023-04,-0.045264061650999894
2023-05,0.17631841040199947
2023-06,0.11981183137407107
2023-07,-0.007020218787000002
2023-08,0.041305424572
2023-09,-0.08623292647
2023-10,-0.04192630622297808
2023-11,0.119328264934
2023-12,0.118848491292
